Time,UE_ID,Old_gNB_ID,New_gNB_ID,RSRP_Old,RSRP_New,RSRQ_Old,RSRQ_New,SINR_Old,SINR_New,Throughput_DL,Throughput_UL,X_Position,Y_Position,Speed,Handover_Type
1.640001,2,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
1.640001,3,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
1.640001,4,,2,-66.000000,,-7.500000,,0.000000,,0.000000,0.000000,1062.700000,601.600000,0.000000,MEASUREMENT
1.640001,5,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,587.700000,0.000000,MEASUREMENT
1.640001,6,,2,-75.000000,,-9.000000,,0.000000,,0.000000,0.000000,1062.700000,1.600000,0.000000,MEASUREMENT
1.640001,7,,3,-81.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,-1.600000,0.000000,MEASUREMENT
1.640001,8,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
1.640001,9,,6,-80.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,1198.400000,0.000000,MEASUREMENT
1.640001,10,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
2.000000,1,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,563.560000,25.890000,MEASUREMENT
2.000000,2,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
2.000000,3,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
2.000000,4,,2,-66.000000,,-7.500000,,0.000000,,0.000000,0.000000,1062.700000,601.600000,0.000000,MEASUREMENT
2.000000,5,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,587.700000,0.000000,MEASUREMENT
2.000000,6,,2,-75.000000,,-9.000000,,0.000000,,0.000000,0.000000,1062.700000,1.600000,0.000000,MEASUREMENT
2.000000,7,,3,-81.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,-1.600000,0.000000,MEASUREMENT
2.000000,8,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
2.000000,9,,6,-80.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,1198.400000,0.000000,MEASUREMENT
2.000000,10,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
2.120001,1,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,560.971000,25.890000,MEASUREMENT
2.120001,2,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
2.120001,3,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
2.120001,4,,2,-66.000000,,-7.500000,,0.000000,,0.000000,0.000000,1062.700000,601.600000,0.000000,MEASUREMENT
2.120001,5,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,587.700000,0.000000,MEASUREMENT
2.120001,6,,2,-75.000000,,-9.000000,,0.000000,,0.000000,0.000000,1062.700000,1.600000,0.000000,MEASUREMENT
2.120001,7,,3,-81.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,-1.600000,0.000000,MEASUREMENT
2.120001,8,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
2.120001,9,,6,-80.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,1198.400000,0.000000,MEASUREMENT
2.120001,10,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
2.600001,3,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
2.600001,4,,2,-66.000000,,-7.500000,,0.000000,,0.000000,0.000000,1062.700000,601.600000,0.000000,MEASUREMENT
2.600001,6,,2,-75.000000,,-9.000000,,0.000000,,0.000000,0.000000,1062.700000,1.600000,0.000000,MEASUREMENT
2.600001,8,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
2.600001,1,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,548.026000,25.890000,MEASUREMENT
2.600001,2,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
2.600001,5,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,587.700000,0.000000,MEASUREMENT
2.600001,7,,3,-81.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,-1.600000,0.000000,MEASUREMENT
2.600001,9,,6,-80.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,1198.400000,0.000000,MEASUREMENT
2.600001,10,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
3.000000,1,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,538.000000,28.020000,MEASUREMENT
3.000000,2,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
3.000000,3,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
3.000000,4,,2,-66.000000,,-7.500000,,0.000000,,0.000000,0.000000,1062.700000,601.600000,0.000000,MEASUREMENT
3.000000,5,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,587.700000,0.000000,MEASUREMENT
3.000000,6,,2,-75.000000,,-9.000000,,0.000000,,0.000000,0.000000,1062.700000,1.600000,0.000000,MEASUREMENT
3.000000,7,,3,-81.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,-1.600000,0.000000,MEASUREMENT
3.000000,8,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
3.000000,9,,6,-80.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,1198.400000,0.000000,MEASUREMENT
3.000000,10,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
3.080001,3,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
3.080001,4,,2,-66.000000,,-7.500000,,0.000000,,0.000000,0.000000,1062.700000,601.600000,0.000000,MEASUREMENT
3.080001,6,,2,-75.000000,,-9.000000,,0.000000,,0.000000,0.000000,1062.700000,1.600000,0.000000,MEASUREMENT
3.080001,8,,8,-67.000000,,-6.000000,,0.000000,,0.000000,0.000000,1087.300000,1198.400000,0.000000,MEASUREMENT
3.080001,1,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,538.000000,28.020000,MEASUREMENT
3.080001,2,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
3.080001,5,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2148.400000,587.700000,0.000000,MEASUREMENT
3.080001,7,,3,-81.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,-1.600000,0.000000,MEASUREMENT
3.080001,9,,6,-80.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,1198.400000,0.000000,MEASUREMENT
3.080001,10,,3,-79.000000,,-9.000000,,0.000000,,0.000000,0.000000,2162.300000,598.400000,0.000000,MEASUREMENT
