Time,VehicleID,X,Y,Speed,Angle
11.00,0,2148.40,464.12,21.99,180.00
11.00,1,1088.58,-1.60,2.24,90.00
11.10,0,2148.40,461.90,22.21,180.00
11.10,1,1088.82,-1.60,2.44,90.00
11.20,0,2148.40,459.66,22.37,180.00
11.20,1,1089.08,-1.60,2.60,90.00
11.30,0,2148.40,457.40,22.58,180.00
11.30,1,1089.36,-1.60,2.82,90.00
11.40,0,2148.40,455.13,22.77,180.00
11.40,1,1089.66,-1.60,2.98,90.00
11.50,0,2148.40,452.83,22.93,180.00
11.50,1,1089.98,-1.60,3.18,90.00
11.60,0,2148.40,450.52,23.18,180.00
11.60,1,1090.31,-1.60,3.35,90.00
11.70,0,2148.40,448.18,23.36,180.00
11.70,1,1090.67,-1.60,3.56,90.00
11.80,0,2148.40,445.82,23.59,180.00
11.80,1,1091.04,-1.60,3.75,90.00
11.90,0,2148.40,443.44,23.84,180.00
11.90,1,1091.44,-1.60,3.91,90.00
12.00,0,2148.40,441.04,24.00,180.00
12.00,1,1091.85,-1.60,4.10,90.00
12.10,0,2148.40,438.62,24.23,180.00
12.10,1,1092.28,-1.60,4.35,90.00
12.20,0,2148.40,436.17,24.45,180.00
12.20,1,1092.73,-1.60,4.52,90.00
12.30,0,2148.40,433.70,24.68,180.00
12.30,1,1093.21,-1.60,4.75,90.00
12.40,0,2148.40,431.22,24.85,180.00
12.40,1,1093.69,-1.60,4.88,90.00
12.50,0,2148.40,428.71,25.05,180.00
12.50,1,1094.21,-1.60,5.12,90.00
12.60,0,2148.40,426.19,25.22,180.00
12.60,1,1094.74,-1.60,5.36,90.00
12.70,0,2148.40,423.65,25.37,180.00
12.70,1,1095.30,-1.60,5.59,90.00
12.80,0,2148.40,421.09,25.60,180.00
12.80,1,1095.88,-1.60,5.83,90.00
12.90,0,2148.40,418.52,25.78,180.00
12.90,1,1096.49,-1.60,6.05,90.00
13.00,0,2148.40,415.92,25.92,180.00
13.00,1,1097.11,-1.60,6.23,90.00
13.10,0,2148.40,413.31,26.17,180.00
13.10,1,1097.76,-1.60,6.48,90.00
13.20,0,2148.40,410.67,26.38,180.00
13.20,1,1098.42,-1.60,6.63,90.00
13.30,0,2148.40,408.01,26.55,180.00
13.30,1,1099.11,-1.60,6.84,90.00
13.40,0,2148.40,405.34,26.76,180.00
13.40,1,1099.81,-1.60,6.99,90.00
13.50,0,2148.40,402.64,26.99,180.00
13.50,1,1100.52,-1.60,7.13,90.00
13.60,0,2148.40,399.93,27.13,180.00
13.60,1,1101.25,-1.60,7.32,90.00
13.70,0,2148.40,397.19,27.38,180.00
13.70,1,1102.01,-1.60,7.57,90.00
13.80,0,2148.40,394.43,27.61,180.00
13.80,1,1102.79,-1.60,7.81,90.00
13.90,0,2148.40,391.64,27.83,180.00
13.90,1,1103.59,-1.60,7.97,90.00
14.00,0,2148.40,388.85,27.96,180.00
14.00,1,1104.40,-1.60,8.12,90.00
14.10,0,2148.40,386.03,28.17,180.00
14.10,1,1105.23,-1.60,8.30,90.00
14.20,0,2148.40,383.19,28.38,180.00
14.20,1,1106.07,-1.60,8.43,90.00
14.30,0,2148.40,380.34,28.53,180.00
14.30,1,1106.93,-1.60,8.60,90.00
14.40,0,2148.40,377.47,28.74,180.00
14.40,1,1107.81,-1.60,8.78,90.00
14.50,0,2148.40,374.57,28.98,180.00
14.50,1,1108.71,-1.60,9.02,90.00
14.60,0,2148.40,371.65,29.18,180.00
14.60,1,1109.63,-1.60,9.20,90.00
14.70,0,2148.40,368.72,29.34,180.00
14.70,1,1110.57,-1.60,9.40,90.00
14.80,0,2148.40,365.76,29.58,180.00
14.80,1,1111.53,-1.60,9.56,90.00
14.90,0,2148.40,362.78,29.80,180.00
14.90,1,1112.51,-1.60,9.80,90.00
15.00,0,2148.40,359.78,29.98,180.00
15.00,1,1113.51,-1.60,9.99,90.00
15.10,0,2148.40,356.76,30.22,180.00
15.10,1,1114.52,-1.60,10.17,90.00
15.20,0,2148.40,353.71,30.41,180.00
15.20,1,1115.56,-1.60,10.39,90.00
15.30,0,2148.40,350.66,30.59,180.00
15.30,1,1116.62,-1.60,10.58,90.00
15.40,0,2148.40,347.58,30.79,180.00
15.40,1,1117.70,-1.60,10.77,90.00
15.50,0,2148.40,344.47,31.03,180.00
15.50,1,1118.79,-1.60,10.91,90.00
15.60,0,2148.40,341.35,31.20,180.00
15.60,1,1119.90,-1.60,11.09,90.00
15.70,0,2148.40,338.22,31.34,180.00
15.70,1,1121.03,-1.60,11.28,90.00
15.80,0,2148.40,335.07,31.49,180.00
15.80,1,1122.17,-1.60,11.43,90.00
15.90,0,2148.40,331.90,31.67,180.00
15.90,1,1123.33,-1.60,11.63,90.00
16.00,0,2148.40,328.72,31.83,180.00
16.00,1,1124.52,-1.60,11.88,90.00
16.10,0,2148.40,325.51,32.06,180.00
16.10,1,1125.73,-1.60,12.10,90.00
16.20,0,2148.40,322.30,32.20,180.00
16.20,1,1126.96,-1.60,12.30,90.00
16.30,0,2148.40,319.06,32.34,180.00
16.30,1,1128.21,-1.60,12.54,90.00
16.40,0,2148.40,315.81,32.48,180.00
16.40,1,1129.48,-1.60,12.69,90.00
16.50,0,2148.40,312.55,32.65,180.00
16.50,1,1130.77,-1.60,12.89,90.00
16.60,0,2148.40,309.26,32.87,180.00
16.60,1,1132.08,-1.60,13.12,90.00
16.70,0,2148.40,305.95,33.10,180.00
16.70,1,1133.41,-1.60,13.28,90.00
16.80,0,2148.40,302.62,33.34,180.00
16.80,1,1134.76,-1.60,13.48,90.00
16.90,0,2148.40,299.27,33.48,180.00
16.90,1,1136.12,-1.60,13.63,90.00
17.00,0,2148.40,295.90,33.68,180.00
17.00,1,1137.51,-1.60,13.89,90.00
17.10,0,2148.40,292.51,33.91,180.00
17.10,1,1138.92,-1.60,14.09,90.00
17.20,0,2148.40,289.10,34.10,180.00
17.20,1,1140.34,-1.60,14.24,90.00
17.30,0,2148.40,285.68,34.25,180.00
17.30,1,1141.78,-1.60,14.38,90.00
17.40,0,2148.40,282.23,34.41,180.00
17.40,1,1143.24,-1.60,14.54,90.00
17.50,0,2148.40,278.77,34.65,180.00
17.50,1,1144.70,-1.60,14.69,90.00
17.60,0,2148.40,275.29,34.83,180.00
17.60,1,1146.19,-1.60,14.86,90.00
17.70,0,2148.40,271.78,35.02,180.00
17.70,1,1147.70,-1.60,15.08,90.00
17.80,0,2148.40,268.27,35.17,180.00
17.80,1,1149.23,-1.60,15.26,90.00
17.90,0,2148.40,264.74,35.32,180.00
17.90,1,1150.78,-1.60,15.50,90.00
18.00,0,2148.40,261.18,35.53,180.00
18.00,1,1152.35,-1.60,15.70,90.00
18.10,0,2148.40,257.61,35.69,180.00
18.10,1,1153.93,-1.60,15.89,90.00
18.20,0,2148.40,254.02,35.94,180.00
18.20,1,1155.54,-1.60,16.08,90.00
18.30,0,2148.40,250.41,36.12,180.00
18.30,1,1157.17,-1.60,16.29,90.00
18.40,0,2148.40,246.78,36.29,180.00
18.40,1,1158.82,-1.60,16.48,90.00
18.50,0,2148.40,243.13,36.54,180.00
18.50,1,1160.49,-1.60,16.68,90.00
18.60,0,2148.40,239.45,36.77,180.00
18.60,1,1162.17,-1.60,16.86,90.00
18.70,0,2148.40,235.75,37.02,180.00
18.70,1,1163.87,-1.60,17.00,90.00
18.80,0,2148.40,232.03,37.16,180.00
18.80,1,1165.60,-1.60,17.21,90.00
18.90,0,2148.40,228.29,37.41,180.00
18.90,1,1167.34,-1.60,17.43,90.00
19.00,0,2148.40,224.53,37.59,180.00
19.00,1,1169.09,-1.60,17.56,90.00
19.10,0,2148.40,220.75,37.85,180.00
19.10,1,1170.87,-1.60,17.71,90.00
19.20,0,2148.40,216.94,38.03,180.00
19.20,1,1172.66,-1.60,17.90,90.00
19.30,0,2148.40,213.12,38.28,180.00
19.30,1,1174.47,-1.60,18.13,90.00
19.40,0,2148.40,209.27,38.43,180.00
19.40,1,1176.30,-1.60,18.33,90.00
19.50,0,2148.40,205.41,38.59,180.00
19.50,1,1178.15,-1.60,18.50,90.00
19.60,0,2148.40,201.53,38.83,180.00
19.60,1,1180.01,-1.60,18.63,90.00
19.70,0,2148.40,197.63,39.00,180.00
19.70,1,1181.89,-1.60,18.80,90.00
19.80,0,2148.40,193.71,39.19,180.00
19.80,1,1183.80,-1.60,19.01,90.00
19.90,0,2148.40,189.78,39.33,180.00
19.90,1,1185.72,-1.60,19.26,90.00
20.00,0,2148.40,185.82,39.57,180.00
20.00,1,1187.67,-1.60,19.49,90.00
20.00,2,2148.40,1187.70,0.00,180.00
20.10,0,2148.40,181.84,39.79,180.00
20.10,1,1189.64,-1.60,19.69,90.00
20.10,2,2148.40,1187.68,0.25,180.00
20.20,0,2148.40,177.91,39.36,180.00
20.20,1,1191.63,-1.60,19.91,90.00
20.20,2,2148.40,1187.62,0.51,180.00
20.30,0,2148.40,174.01,38.91,180.00
20.30,1,1193.65,-1.60,20.16,90.00
20.30,2,2148.40,1187.55,0.76,180.00
20.40,0,2148.40,170.17,38.46,180.00
20.40,1,1195.68,-1.60,20.30,90.00
20.40,2,2148.40,1187.45,1.00,180.00
20.50,0,2148.40,166.37,38.01,180.00
20.50,1,1197.73,-1.60,20.49,90.00
20.50,2,2148.40,1187.33,1.20,180.00
20.60,0,2148.40,162.61,37.56,180.00
20.60,1,1199.79,-1.60,20.66,90.00
20.60,2,2148.40,1187.18,1.45,180.00
20.70,0,2148.40,158.90,37.11,180.00
20.70,1,1201.88,-1.60,20.89,90.00
20.70,2,2148.40,1187.02,1.65,180.00
20.80,0,2148.40,155.23,36.66,180.00
20.80,1,1203.99,-1.60,21.05,90.00
20.80,2,2148.40,1186.83,1.87,180.00
20.90,0,2148.40,151.61,36.24,180.00
20.90,1,1206.12,-1.60,21.30,90.00
20.90,2,2148.40,1186.63,2.06,180.00
21.00,0,2148.40,148.03,35.80,180.00
21.00,1,1208.27,-1.60,21.56,90.00
21.00,2,2148.40,1186.39,2.31,180.00
21.10,0,2148.40,144.50,35.35,180.00
21.10,1,1210.45,-1.60,21.78,90.00
21.10,2,2148.40,1186.14,2.53,180.00
21.20,0,2148.40,141.01,34.90,180.00
21.20,1,1212.65,-1.60,21.97,90.00
21.20,2,2148.40,1185.87,2.72,180.00
21.30,0,2148.40,137.56,34.45,180.00
21.30,1,1214.86,-1.60,22.15,90.00
21.30,2,2148.40,1185.58,2.89,180.00
21.40,0,2148.40,134.16,34.00,180.00
21.40,1,1217.10,-1.60,22.39,90.00
21.40,2,2148.40,1185.27,3.13,180.00
21.50,0,2148.40,130.81,33.55,180.00
21.50,1,1219.36,-1.60,22.60,90.00
21.50,2,2148.40,1184.93,3.35,180.00
21.60,0,2148.40,127.50,33.10,180.00
21.60,1,1221.64,-1.60,22.81,90.00
21.60,2,2148.40,1184.58,3.57,180.00
21.70,0,2148.40,124.23,32.65,180.00
21.70,1,1223.95,-1.60,23.05,90.00
21.70,2,2148.40,1184.19,3.82,180.00
21.80,0,2148.40,121.01,32.20,180.00
21.80,1,1226.27,-1.60,23.26,90.00
21.80,2,2148.40,1183.80,3.95,180.00
21.90,0,2148.40,117.84,31.75,180.00
21.90,1,1228.62,-1.60,23.48,90.00
21.90,2,2148.40,1183.38,4.21,180.00
22.00,0,2148.40,114.71,31.31,180.00
22.00,1,1230.99,-1.60,23.72,90.00
22.00,2,2148.40,1182.94,4.35,180.00
